Country,Region,Province,City,Successful_Attack,Suicide_Attack,Attack_Type,Target_Type,Target_Subtype,Corporation,Target,Target_Nationality,Terrorist_Group,Weapon_Type,Kill_Count,Terrorists_Killed,People_Injured,Terrorist_Injured,Property_Damaged,Hostage_Kidnapped,ransom,Hostage_Recovered,International_Attack,Death_Category,Death
Pakistan,'South Asia',Sindh,Karachi,1,0,Assassination,'Private Citizens & Property','Religion Identified','Muslim Religion','Four Shiite Brothers  one a police man',Pakistan,Unknown,Unknown,4,0,0,0,0,0,0,0,0,Low,yes
Peru,'South America',Ayacucho,Huichinga,1,0,Assassination,'Private Citizens & Property',Farmer,Unknown,'6 Persons Tending Cattle',Peru,'Shining Path (SL)',Firearms,6,0,0,0,0,0,0,0,0,Medium,yes
Syria,'Middle East & North Africa',Raqqah,'Ain Issa',1,1,Bombing/Explosion,'Private Citizens & Property',Village/City/Town/Suburb,'Ayn Issa Town',Town,Syria,'Islamic State of Iraq and the Levant (ISIL)',Explosives,21,1,0,0,0,0,0,0,1,Medium,yes
Afghanistan,'South Asia',Ghor,'Shahrak district',1,0,'Armed Assault',Police,'Police Security Forces/Officers','Afghan Police',Officers,Afghanistan,Unknown,Firearms,3,1,0,0,1,0,0,0,0,Low,yes
'Sri Lanka','South Asia',Northern,Mannar,1,0,Bombing/Explosion,Military,'Military Transportation/Vehicle (excluding convoys)','Sri Lanka military','military vehicle','Sri Lanka',Tamils,Explosives,4,0,0,0,1,0,0,0,1,Low,yes
India,'South Asia',Maharashtra,Pune,1,0,Assassination,'Private Citizens & Property','Political Party Member/Rally','Shiv Sena','Branch Head: Pandurang Ambike',India,Unknown,Melee,1,0,0,0,0,0,0,0,0,Low,yes
Syria,'Middle East & North Africa',Damascus,Damascus,1,0,Bombing/Explosion,'Educational Institution','School/University/Educational Building',Unknown,'School Compound',Syria,Unknown,Explosives,1,0,0,0,1,0,0,0,0,Low,yes
Turkey,'Middle East & North Africa',Unknown,Unknown,1,0,'Armed Assault',Business,Retail/Grocery/Bakery,Unknown,shopkeepers,Turkey,'Turkish People s Liberation Front (TPLF)(THKP-C)',Firearms,2,0,0,0,0,0,0,0,0,Low,yes
India,'South Asia','Jammu and Kashmir',Srinagar,1,0,Bombing/Explosion,Military,'Military Transportation/Vehicle (excluding convoys)',Govt,'military vehicle',India,Unknown,Explosives,3,0,3,0,1,0,0,0,0,Low,yes
Turkey,'Middle East & North Africa',Istanbul,Istanbul,1,0,'Armed Assault',Police,'Police Patrol (including vehicles and convoys)',Police,'Patrol Car',Turkey,Unknown,Firearms,3,0,0,0,1,0,0,0,0,Low,yes
